id,name,text,trans
0000000000000,{user},事前情報はこんなところか……\nよし、スカウトに行こう。,事前信息就到这里吧……\n好，去招募吧。
0000000000000,星南,『一番星』\nそれは……,『一番星』\n那是……
0000000000000,星南,初星学園にきらめく星々の頂点。\nアイドルを志す生徒たちの憧れ。,初星学园中闪耀星辰的顶点。\n是立志成为偶像的学生们的梦想。
0000000000000,星南,そして――,然后——
0000000000000,星南,全校生徒の代表として、\nさらなる頂きに挑むもの。,作为全校学生的代表，\n挑战更高的顶峰。
0000000000000,星南,かつての私は、そう信じて\n空を仰ぎ見ていた――,曾经的我，深信这一点，\n仰望天空——
0000000000000,星南,はじめまして、プロデューサー。,初次见面，制作人。
0000000000000,星南,<r\=じゅうおうせな>十王星南</r>よ。\n私になにか御用かしら？,我是十王星南。\n找我有什么事吗？
select,,あなたをプロデュースさせてください,请让我来培育你
0000000000000,星南,率直ね。だけど、お断りするわ。,真直接。不过，我拒绝。
0000000000000,{user},あなたは、\nすでに学園一のアイドルです。,你已经是\n学园里最顶尖的偶像了。
0000000000000,{user},プロデューサーは不要。\nそうお考えですか？,觉得不需要制作人，\n是这样想的吗？
0000000000000,星南,……私、そんなに傲慢に見える？,……我看起来有那么傲慢吗？
0000000000000,星南,前回、私が『<r\=プリマステラ>一番星</r>』に選ばれたのは\n……多くの幸運に恵まれたからよ。,上次我被选为『一番星』，\n是因为得到了很多幸运。
0000000000000,星南,その名誉に恥じぬよう、努力を怠った\nことはないけれど……,虽然我从没懈怠过努力，\n不辜负那份荣誉……
0000000000000,星南,初星学園には、私に負けない輝きを\n持つ星々たちが、,但在初星学园，有许多比我\n更闪耀的星辰们，
0000000000000,星南,日々育ちつつあるわ。なのに……,正在日益成长。可是……
0000000000000,星南,今年も同じように勝てるだなんて。\nおこがましい考えでしょう？,今年也能同样获胜，\n这种想法是不是太自大了？
0000000000000,星南,『良きアイドルには、\n良きプロデューサーが必要』,『优秀的偶像，需要优秀的制作人』
0000000000000,星南,学園の理念には、私も共感しているの。\nプロデューサーの存在は……,学园的理念，我也认同。\n制作人的存在……
0000000000000,星南,私が連覇するための、\n大きな助けとなる。心からそう思うわ。,对我继续连胜\n将是巨大的帮助。我真心这样认为。
0000000000000,{user},では、どうして……,那么，为什么……
0000000000000,星南,あなたの誘いを断ったのか――\nその理由はね。フフ……内緒よ？,为什么拒绝了你的邀请呢——\n理由嘛。呵呵……保密哦？
0000000000000,星南,私、卒業後はアイドルをやめて――\nプロデューサーを目指すの。,我，毕业后打算放弃做偶像——\n转而成为制作人。
0000000000000,{user},………………………………,………………………………
0000000000000,星南,そんなに、驚くようなことだった？,有那么让人吃惊吗？
0000000000000,{user},誰もが期待していたはずです。\n学園一のアイドルであるあなたが、,所有人都一定在期待。\n作为学园最顶尖的偶像，
0000000000000,{user},学園の外で、世界中のアイドルたちと\n競い合う姿を。,你在学园外与世界各地的偶像们\n竞争的样子。
0000000000000,{user},いつか、トップアイドルと\n呼ばれる日がくることを。,有一天，被称为顶级偶像的\n那一天。
0000000000000,星南,なら、聞きましょう。,那么，让我问你。
0000000000000,星南,そもそも……\nトップアイドルとは、なにかしら？,究竟……\n什么是顶级偶像？
0000000000000,{user},アイドルにとって\n最上位の称号。,对偶像来说\n最高的称号。
